,id,rated,variant,speed,createdAt,lastMoveAt,status,winner,moves,clock,white_player_name,white_ranking,black_player_name,black_ranking
100,up4VLJnW,True,standard,blitz,2023-02-23 00:55:51.430000+01:00,2023-02-23 01:04:20.557000+01:00,resign,black,28,300,EvilSaintPL,1739,mblaschke,1817
101,uDAWvker,True,standard,blitz,2023-02-23 00:44:01.050000+01:00,2023-02-23 00:53:55.530000+01:00,outoftime,white,61,300,chiquito48,1842,EvilSaintPL,1748
102,xAvCN6kL,True,standard,blitz,2023-02-23 00:30:00.148000+01:00,2023-02-23 00:38:09.741000+01:00,resign,white,28,300,EvilSaintPL,1732,coragem4,1835
103,fjnErqMR,True,standard,blitz,2023-02-21 05:59:49.873000+01:00,2023-02-21 06:07:20.789000+01:00,mate,white,45,300,EvilSaintPL,1720,ukas25,1712
104,qY1tTmhd,True,standard,blitz,2023-02-21 05:53:37.319000+01:00,2023-02-21 05:59:42.347000+01:00,mate,black,24,300,EvilSaintPL,1733,Eddyelm91,1712
105,J6TR51LN,True,standard,blitz,2023-02-18 22:43:07.206000+01:00,2023-02-18 22:52:59.640000+01:00,outoftime,black,65,300,EvilSaintPL,1747,Spezialisto,1732
106,tSvieCNz,True,standard,blitz,2023-02-18 04:52:09.736000+01:00,2023-02-18 04:58:32.787000+01:00,mate,black,23,300,tituhs,1500,EvilSaintPL,1742
107,B3wiNf1F,True,standard,blitz,2023-02-18 04:41:55.647000+01:00,2023-02-18 04:51:55.633000+01:00,outoftime,white,52,300,Jaigoki,1770,EvilSaintPL,1755
108,4v0Gbgdn,True,standard,blitz,2022-12-20 16:49:55.550000+01:00,2022-12-20 16:59:40.939000+01:00,outoftime,,69,300,EvilSaintPL,1755,jaberjbirat,1752
109,GnBprbgB,True,standard,blitz,2022-12-20 16:44:34.869000+01:00,2022-12-20 16:46:34.571000+01:00,resign,black,19,300,Invaderon,1740,EvilSaintPL,1745
110,GfVVBhJc,True,standard,blitz,2022-12-20 01:49:04.222000+01:00,2022-12-20 01:56:37.791000+01:00,resign,black,32,300,Lykiaa,1703,EvilSaintPL,1735
111,ZUHTKiSa,False,standard,blitz,2022-12-19 16:39:17.112000+01:00,2022-12-19 16:48:41.999000+01:00,resign,white,25,300,EvilSaintPL,1735,YoungCapitan,1424
